Type,Insertions,Time
BST,5000,0.001500
BST,10000,0.002889
BST,15000,0.006189
BST,20000,0.004916
BST,25000,0.006774
BST,30000,0.010026
BST,35000,0.012238
BST,40000,0.011285
BST,45000,0.015990
BST,50000,0.012521
AVL,5000,0.003108
AVL,10000,0.003303
AVL,15000,0.004847
AVL,20000,0.006118
AVL,25000,0.008683
AVL,30000,0.011938
AVL,35000,0.013278
AVL,40000,0.016183
AVL,45000,0.020190
AVL,50000,0.021979
TREAP,5000,0.001454
TREAP,10000,0.002281
TREAP,15000,0.003531
TREAP,20000,0.005850
TREAP,25000,0.008119
TREAP,30000,0.008412
TREAP,35000,0.012607
TREAP,40000,0.013727
TREAP,45000,0.015161
TREAP,50000,0.020096
SKIP,5000,0.001150
SKIP,10000,0.002786
SKIP,15000,0.005094
SKIP,20000,0.007509
SKIP,25000,0.009224
SKIP,30000,0.011911
SKIP,35000,0.014682
SKIP,40000,0.019041
SKIP,45000,0.021676
SKIP,50000,0.026448
,,
