Type, Operations, Inserts, Searches, Deletes, Time
BST, 2000, 1659, 581, 700, 0.000539
BST, 4000, 3340, 1185, 1379, 0.000667
BST, 6000, 5040, 1807, 2042, 0.001069
BST, 8000, 6699, 2458, 2710, 0.001283
BST, 10000, 8395, 3119, 3353, 0.001707
AVL, 2000, 1659, 581, 700, 0.000545
AVL, 4000, 3340, 1185, 1379, 0.001215
AVL, 6000, 5040, 1807, 2042, 0.001527
AVL, 8000, 6699, 2458, 2710, 0.001938
AVL, 10000, 8395, 3119, 3353, 0.002523
TREAP, 2000, 1659, 581, 700, 0.000486
TREAP, 4000, 3340, 1185, 1379, 0.000734
TREAP, 6000, 5040, 1807, 2042, 0.001205
TREAP, 8000, 6699, 2458, 2710, 0.002329
TREAP, 10000, 8395, 3119, 3353, 0.002318
SKIP, 2000, 1659, 581, 700, 0.000360
SKIP, 4000, 3340, 1185, 1379, 0.000834
SKIP, 6000, 5040, 1807, 2042, 0.001445
SKIP, 8000, 6699, 2458, 2710, 0.002121
SKIP, 10000, 8395, 3119, 3353, 0.002920
