Type, Insertions, Time
BST, 5000, 0.002538
BST, 10000, 0.003316
BST, 15000, 0.005033
BST, 20000, 0.006181
BST, 25000, 0.007768
BST, 30000, 0.013404
BST, 35000, 0.013892
BST, 40000, 0.049509
BST, 45000, 0.014313
BST, 50000, 0.017288
AVL, 5000, 0.002966
AVL, 10000, 0.004093
AVL, 15000, 0.005465
AVL, 20000, 0.007842
AVL, 25000, 0.010180
AVL, 30000, 0.012657
AVL, 35000, 0.014722
AVL, 40000, 0.016939
AVL, 45000, 0.024816
AVL, 50000, 0.024561
TREAP, 5000, 0.011364
TREAP, 10000, 0.070974
TREAP, 15000, 0.106503
TREAP, 20000, 0.191905
TREAP, 25000, 0.331939
TREAP, 30000, 0.746633
TREAP, 35000, 1.091635
TREAP, 40000, 1.183353
TREAP, 45000, 1.442876
TREAP, 50000, 1.904141
SKIP, 5000, 0.171441
SKIP, 10000, 0.855524
SKIP, 15000, 1.951258
SKIP, 20000, 4.466760
SKIP, 25000, 7.483140
SKIP, 30000, 12.509667
SKIP, 35000, 20.674117
SKIP, 40000, 30.905695
SKIP, 45000, 35.943229
SKIP, 50000, 54.392066
