Type,Insertions,Time
BST,5000,0.001954
BST,10000,0.003275
BST,15000,0.006444
BST,20000,0.007042
BST,25000,0.008843
BST,30000,0.024650
BST,35000,0.016451
BST,40000,0.025795
BST,45000,0.016436
BST,50000,0.019966
AVL,5000,0.000870
AVL,10000,0.001804
AVL,15000,0.003055
AVL,20000,0.004114
AVL,25000,0.005295
AVL,30000,0.006539
AVL,35000,0.007936
AVL,40000,0.010418
AVL,45000,0.016333
AVL,50000,0.013943
TREAP,5000,0.019785
TREAP,10000,0.106507
TREAP,15000,0.191861
TREAP,20000,0.521373
TREAP,25000,0.857795
TREAP,30000,1.755872
TREAP,35000,2.492133
TREAP,40000,2.924599
TREAP,45000,3.985087
TREAP,50000,5.053458
SKIP,5000,0.324041
SKIP,10000,1.476741
SKIP,15000,3.376160
SKIP,20000,8.804612
SKIP,25000,16.609650
SKIP,30000,25.906884
SKIP,35000,41.527399
SKIP,40000,61.472509
SKIP,45000,77.511733
,,SKIP, 50000, 117.124675
