Type, Insertions, Time
BST, 5000, 0.002470
BST, 10000, 0.003612
BST, 15000, 0.007080
BST, 20000, 0.008142
BST, 25000, 0.007360
BST, 30000, 0.014835
BST, 35000, 0.012360
BST, 40000, 0.013464
BST, 45000, 0.014914
BST, 50000, 0.019821
AVL, 5000, 0.000957
AVL, 10000, 0.002076
AVL, 15000, 0.003098
AVL, 20000, 0.003855
AVL, 25000, 0.005568
AVL, 30000, 0.007161
AVL, 35000, 0.008790
AVL, 40000, 0.009417
AVL, 45000, 0.012337
AVL, 50000, 0.023221
TREAP, 5000, 0.022501
TREAP, 10000, 0.124744
TREAP, 15000, 0.239659
TREAP, 20000, 0.391916
TREAP, 25000, 0.722174
TREAP, 30000, 1.289766
TREAP, 35000, 1.828881
TREAP, 40000, 2.549998
TREAP, 45000, 3.464746
TREAP, 50000, 4.529022
SKIP, 5000, 0.001316
SKIP, 10000, 0.003204
SKIP, 15000, 0.004909
SKIP, 20000, 0.007253
SKIP, 25000, 0.010689
SKIP, 30000, 0.014367
SKIP, 35000, 0.019817
SKIP, 40000, 0.027236
SKIP, 45000, 0.024488
SKIP, 50000, 0.026974
